Tue Nov 15 11:43:17 2022    output.dat

         348506 function calls (344947 primitive calls) in 2842.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2726.127 2726.127 2842.435 2842.435 {method 'mainloop' of '_tkinter.tkapp' objects}
       58    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfgen\canvas.py:1806(beginText)
        6    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfgen\canvas.py:381(init_graphics_state)
       36    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfdoc.py:900(add)
      309    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
        4    0.000    0.000    0.003    0.001 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\flowables.py:925(drawOn)
      164    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
       22    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paraparser.py:3108(handle_data)
       18    0.000    0.000    0.003    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\platypus\paragraph.py:1812(_setup)
        2    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       80    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\ttfonts.py:274(get_table_pos)
        3    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\encodings\__init__.py:43(normalize_encoding)
        3    0.000    0.000    0.005    0.002 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\encodings\__init__.py:71(search_function)
       18    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\html\parser.py:385(parse_endtag)
        2    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfmetrics.py:398(addObjects)
       98    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:813(get)
        1    0.000    0.000    0.026    0.026 I:\##VISHESH##\pp python project\bill_generator_with_changes.py:213(gotoflower)
        1    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfbase\pdfmetrics.py:144(_loadBuiltInData)
        1    0.000    0.000 2842.457 2842.457 I:\##VISHESH##\pp python project\bill_generator_with_changes.py:805(main)
       20    0.000    0.000    0.000    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\ntpath.py:180(split)
       20    0.000    0.000    0.001    0.000 C:\Users\Paridhi Educational\AppData\Local\Programs\Python\Python310\lib\site-packages\reportlab\pdfgen\canvas.py:1591(drawString)
      611    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
